,0,1,2,3,4
0,0,5.1451,4.6489,3.875,4.207
1,0,2.0707,3.9312,3.1552,3.8381
2,1,2.919,3.8901,2.3728,2.4886
3,0,2.4104,3.2639,2.6164,2.9239
4,1,5.428,2.9112,2.8754,4.2494
5,1,21.031,1.5053,2.8599,21.1
6,1,4.2771,5.4586,3.266,5.0685
7,0,1.3086,4.0846,3.2161,3.2415
8,0,2.7862,2.7726,3.3295,3.35
9,0,2.0326,3.2414,2.8904,3.0208
10,1,5.8108,1.7995,1.7517,7.2155
11,0,2.4568,1.2034,2.3122,2.3946
12,1,10.618,4.5674,3.6522,8.8807
13,1,4.2604,1.927,3.2111,3.5486
14,0,3.223,6.77,1.7876,6.3623
15,1,3.2742,2.308,2.5564,3.0447
16,1,5.1487,4.2775,3.9042,5.0144
17,0,3.7999,4.1269,3.2116,3.6074
18,0,0.47898,-1.4273,1.8169,1.8322
19,0,1.2484,4.9163,2.4171,5.2503
20,0,2.9996,3.0045,2.4144,2.8006
21,1,2.1472,2.7136,3.2199,3.3103
22,0,4.2018,8.3785,3.1629,10.306
23,0,3.6423,6.8093,3.8072,4.7148
24,0,2.0538,10.933,2.4594,10.361
25,0,2.6261,4.0306,2.5635,3.3629
26,1,2.0511,2.0298,3.1451,3.3897
27,1,12.565,1.1041,2.7323,12.631
28,0,3.626,2.5624,2.8519,3.0086
29,1,5.4077,2.0081,2.6947,3.4176
30,0,2.0661,2.3705,1.9394,2.1543
31,0,2.8639,3.7447,3.2704,3.4279
32,0,3.8528,1.5535,2.4161,2.5911
33,0,2.0148,3.0452,2.6181,3.0276
34,1,32.776,2.3062,2.5705,31.808
35,0,1.2854,2.3586,1.3604,1.4864
36,0,4.2172,4.7206,3.4657,3.5359
37,0,4.0148,1.9657,3.1535,3.7794
38,1,4.4714,3.9828,3.7042,4.1151
39,1,19.504,6.5132,2.5531,21.679
40,0,1.625,3.5627,3.6086,4.4765
41,0,-0.34795,2.3903,1.4879,1.7329
42,1,2.3982,2.2287,2.5821,2.6629
43,1,4.2327,2.441,2.3854,5.1548
44,1,5.4404,1.0636,3.1023,4.1981
45,1,3.0688,1.4883,2.0871,3.7562
46,0,2.8879,3.7536,2.8747,4.2437
47,1,3.6855,2.8386,3.7877,4.3589
48,1,1.9033,2.7398,2.9535,2.9811
49,1,1.6969,4.5916,3.1877,3.5044
50,0,3.9983,2.412,3.1783,3.2174
51,0,2.7441,2.2065,1.726,3.5327
52,1,2.0456,1.4416,2.2523,2.4164
53,1,4.4549,2.5325,2.6459,5.0085
54,0,3.1158,6.0049,3.7637,4.5234
55,1,1.7781,2.9769,2.5373,2.849
56,0,1.8875,2.6253,2.2643,2.2747
57,1,1.6649,2.2752,1.7406,1.9674
58,0,3.24,4.0604,3.3487,3.4812
59,0,1.0157,23.647,3.0389,23.399
60,0,2.3626,5.7445,2.3129,6.158
61,1,12.951,2.0822,2.3261,12.751
62,0,2.12,3.036,2.158,3.1773
63,1,4.1117,1.6664,0.93243,2.6836
64,0,0.53754,3.3318,3.1767,4.2042
65,1,5.1973,2.444,2.8905,4.2781
66,0,2.5589,5.2045,4.4125,5.1519
67,1,4.6683,1.9035,2.1658,3.2303
68,1,2.6849,3.6715,2.3272,2.7491
69,1,4.5045,2.1646,3.9227,4.1379
70,0,2.5812,2.6221,2.3035,2.3621
71,0,2.7974,5.992,3.0766,4.6047
